es,it
msicos,musicisti
rivera,rivera
poco,poco
delegaciones,delegazioni
serena,sereno
viceregno,viceregno
recientemente,recentemente
consular,consolare
respeto,rispeto
sido,stati
present,presentato
algn,un
centre,nuclaires
muy,quanto
camileri,camileri
secretarios,ministro
musicales,musicali
querido,rifiutare
ricardo,ricardo
tor,tor
dinero,denaro
cupo,quota
condena,senza
educacional,eficiente
destin,devoluto
ofrecen,oportunit
muro,muro
clsica,clasica
articulacin,larticolazione
es,","
financieras,finanziarie
ambmadrid,ambmadrid
estacom,estacom
preguntas,domande
carabinero,carabiniere
janis,janis
bufet,bufet
paquetes,pachi
discapacidad,disabilit
lector,lector
universidad,deluniversit
aspecto,laseto
un,un
teritorial,teritoriale
estudiantes,lambiente
jugador,calciatore
cerebros,cerveli
visitas,visite
colegios,segio
xv,xv
curtis,curtis
votan,in
antigedad,anticamente
primas,materie
centochiodi,quotidiana
generales,generali
investigadores,ricercatori
isabel,isabel
abiertos,aperti
falsa,finta
incluyendo,inclusi
restructuracin,ristruturata
ofertas,oferte
importantsima,importantisima
residente,residente
xix,xix
espejo,alo
hacienda,finanza
sospeche,sospetato
faltarn,mancherano
javier,javier
premiados,premiati
ilustra,ilustra
das,gran
reunir,riunire
anterior,antecedente
nos,molto
puntos,punti
comunicaciones,comunicazioni
lopezdoriga,principato
pertinentes,previsto
adversas,averse
construido,intarsiato
construciones,costruzioni
todas,are
microcrditos,sotintende
navidad,italiani
fuerte,forte
desertificacin,desertificazione
suplemento,suplemento
visin,vedenti
castel,castel
animadsima,lanimatisima
marcha,via
bibliografa,bibliografia
mejores,migliori
resultados,risultati
cabo,lirica
bilateral,bilaterale
mochilas,zaini
montaje,montagio
combina,combina
papa,papa
imprevista,vacante
patronazgo,contare
teremotos,teremoti
juegan,giocano
fuertemente,fortemente
dificultad,dificolt
gobelins,gobelins
literario,leteraria
concentra,concentra
urbano,urbano
dedicarse,dedicarsi
abierta,visitabile
ventotene,ventotene
originalidad,dalesperienza
moralizante,educativo
alfieri,alfieri
preinscripcin,preiscrizione
artculo,dela
asesora,consulenza
final,finale
detencin,ordinare
mastroberardino,mastroberardino
trabaj,lavorato
presidente,presidente
votar,ale
bisnieto,pronipote
nuestra,opure
vacantes,vacanti
lejanos,lontani
econmico,economico
matrimonio,matrimonio
desaroladas,svilupate
sabido,saputo
laboratorio,laboratorio
nosotros,horse
so,so
receptor,ricetore
balsmico,balsamico
marqus,marchese
afecta,aflige
ciclo,ciclo
proprio,proprio
reuni,junta
fotografiar,fotografare
fruto,fruto
europeye,europeye
iluoghidelcuore,iluoghidelcuore
delicado,delicato
residuos,scarti
cruzando,valicando
venecia,venezia
segn,le
constituda,costituita
hace,ai
htpsweb,htpsweb
conseguir,progresar
jesuitas,gesuiti
lujo,quale
que,che
benfico,benefico
talados,intagliati
ambiente,ambiente
becarios,tirocinanti
agencia,agenzia
mens,men
monarqua,monarchia
cork,cork
culturali,culturali
pretenda,instaurare
organizado,organizato
comenz,iniziato
pamphilj,pamphilj
alitaliana,lanciata
renta,redito
cometido,comeso
reflejan,enormi
sib,sib
recordar,ricordare
cabalero,cavaliere
postura,posizione
tomarn,sarano
