es,pt
realizado,concluda
unas,nas
transferencia,transferncia
fianza,fiana
usuario,username
caso,caso
encarga,responsvel
pasando,pasagem
transparentes,transparentes
coptacin,coptao
tarda,demora
leves,menos
coreo,eleitor
carta,da
honor,honorio
trabajamos,trabalhar
proteger,proteger
financiera,financeira
alfano,alfano
euro,trecho
designado,designada
horas,horas
jaramilo,jaramilo
invita,convida
ingreso,entrada
exhorta,exorta
adultos,adultos
legislativa,competncias
contar,estar
cometido,cometer
compromisos,compromisos
persistir,existir
convencidos,convictos
nuestra,internet
analizar,avaliar
empleadas,empregada
asamblea,asembleia
mapamondo,mapamondo
recibir,receber
continuarn,outubro
agenda,agenda
e,se
senado,senado
grupo,um
hospital,hospital
alimentarias,alimentares
empieza,comea
editado,contem
fsicas,fsicas
informativo,informativo
servicio,servio
prioritaria,prioritria
presentada,apresentada
emprender,decidirmos
final,final
tiempo,tempo
testigo,testemunha
comunique,comunicada
requisitos,informarse
mario,vindas
tel,tel
incluidos,estudantes
ayuda,ajuda
tenida,que
le,lhe
instituto,talolatino
animas,animos
momento,momento
polticas,polticos
cuba,","
bon,bon
u,ou
foletos,panfletos
residir,residir
roma,roma
estacin,estao
estado,estado
quin,quem
utiliza,usado
puedo,poso
tienen,terem
fotografa,fotografia
condena,condenao
locales,locais
peticin,petio
desde,declarar
ciudadanos,cidados
judicial,individual
consideracin,considerao
poblacin,populao
civiles,parceiros
labor,do
ofrecida,oferecido
decidimos,decidirmos
partidos,poltico
candidatura,candidatura
compensacin,quaisquer
ferdinando,ferdinando
siguiente,seguinte
necesario,necesrio
aparecer,comparecer
moro,moro
respalden,suportem
postulada,nomeada
salvador,equador
esto,isto
global,global
podra,pode
mucha,muito
comit,comit
comunicaciones,participaes
extranjero,estrangeiro
generales,gerais
original,original
mateo,mateo
lmites,limites
estas,destas
directo,comerciais
retira,autorizao
evitar,preveno
pagar,pagar
votantes,eleitores
transcurso,durante
portugus,portugus
cubiertas,prenchidas
necesidades,necesidades
que,que
transcripcin,transcrio
italianos,italianos
apoderados,asociados
coste,de
vicepresidente,vicepresidente
dos,duas
motivo,motivo
ayudarn,ajudaro
fecha,da
frente,cmera
serie,srie
seminario,seminrio
centros,semelhante
tanto,portanto
pabeln,pavilho
ariba,acima
urna,numa
ninguna,indicada
poderes,diferentes
incuridos,incoridas
alergias,alergias
acusada,acusada
mexicanos,mexicanos
polticos,polticos
gravedad,gravidade
buf,bufet
reducin,reduo
milones,milhes
seanad,seanad
gobiernos,governos
autorizado,autorizado
presidencia,presidncia
largo,reunio
producido,ocorido
asegurar,asegurada
europeas,europeias
unit,vtimas
condado,compilam
papeleta,boletim
realice,confirma
ubicado,localizado
parlamentos,parlamentos
periodistas,jornalistas
denuncia,queixa
club,club
legalmente,promesa
incluye,contm
paz,paz
sera,pedimos
explica,explica
escrutador,presidente
irlandeses,irlandeses
cheque,cheques
permita,autorize
martes,terafeira
sociales,sociais
adems,diso
unin,unio
hoteles,sede
depende,dependem
escribirnos,escrevernos
semana,semana
soberana,soberana
divulgacin,divulgao
delito,crime
contribucin,consiste
decisiones,decises
pruebas,provas
corecta,democrtica
sexual,grave
descrito,presidente
normativas,cumprir
palabra,fala
nasiriya,nasiriya
total,total
bolivia,bolvia
muchos,muitos
disponible,disponvel
videolink,videolink
acompado,acompanhado
se,se
resultado,resultado
este,este
obras,obras
viable,vivel
toda,de
antes,antes
fuerzas,foras
impedir,impedir
enrique,enrique
eror,ero
director,chefe
donde,seu
aplicar,solicitar
hait,haiti
detenimiento,cuidadosamente
sospechoso,suspeito
vista,vo
habitualmente,efectivamente
competente,competente
embajador,embaixador
destinados,destacados
atencin,ateno
decidirn,consideraro
solicitarlos,justificaes
significa,significa
unos,custa
violencia,diversas
da,dia
figurar,descrita
tiles,teis
cena,jantar
formas,formas
acusa,acusar
sospechosa,suspeita
conexin,conhea
skinerkle,skinerkle
solidariamente,solidariamente
opciones,esconder
varios,polcia
afiliacin,filiao
ido,ido
sostiene,apoia
indique,diser
monetaria,financeiro
informes,relatrios
nos,tendo
documentacin,documentao
salas,salas
travs,atravs
directrices,diretrizes
road,road
transfieren,transferidos
sencilo,simples
formularios,formulrio
mediante,resultado
considerar,considerar
conforme,amparo
eurostar,eurostar
amrica,amrica
xiv,xiv
intervencin,disponvel
elegida,elegvel
renzi,renzi
cundo,quando
conclusiones,concluses
al,a
consecuencias,consequncias
asuntos,asuntos
buen,e
seguridad,estado
escrito,escrito
tratamiento,histrico
distribuye,distribudo
legarn,entraro
presentados,apresentado
ocupa,encontre
pueda,posa
pblico,pblico
pas,pas
obtenida,promotoria
suficientes,suficientes
infancia,infncia
central,criminal
opcin,escolha
sela,","
motivos,motivos
pier,pier
simultnea,simultnea
i,i
propuesta,candidatura
familia,famlia
son,so
de,da
ejemplos,exemplos
revelacin,facultar
funcionario,funcionrio
entregada,ajudar
tiene,tm
implicado,envolvido
rigurosas,severas
tulo,tulo
euros,euros
nuevas,caso
piaza,piaza
explicar,explicar
medida,advertido
compartido,participativo
flores,flores
examinamos,analisamos
talolatino,americano
electorales,eleitorais
disposicin,publicado
plazo,prazo
constitucin,constituio
beneficios,benefcios
justicia,justia
identidad,identidade
listas,listas
hablarle,sobre
ejemplo,exemplo
tnico,etnia
reciba,receba
condenado,condenado
estudian,enquanto
ofensas,menores
mximo,nomes
cdigos,dois
mesa,a
corupcin,poltica
w,w
investiga,investiga
leyes,legislao
latina,latina
vida,a
miembros,membros
eliminar,eliminao
ler,ler
sostenible,sustentvel
estados,estados
hogares,para
diputados,deputados
relevante,relevantes
penas,penas
proponente,proponente
categora,titular
entregar,liberar
realizar,durante
alojamiento,pernoite
visitar,visitar
stephanie,stephanie
perpetua,perptua
