,es,it
0,el,volta
1,proyecto,progeto
2,m,me
3,i,i
4,.,.
5,o,o
6,oportunidades,mancanza
7,reales,reali
8,para,per
9,en,in
10,un,un
11,ideas,un
12,migrantes,traciato
13,europeo,europeo
14,dirigido,ai
15,ong,ong
16,entidades,enti
17,las,le
18,con,con
19,pesar,grandi
20,crisis,crisi
21,econmica,tra
22,aos,ani
23,ltimos,ultimi
24,empresas,imprese
25,creciendo,con
26,tanto,che
27,como,come
28,que,non
29,surgen,tutavia
30,momentos,in
31,",",","
32,la,steso
33,dificultad,dificolt
34,bsqueda,nuovi
35,informacin,rotele
36,de,di
37,una,","
38,empresa,italiana
39,y,del
40,escasez,formazione
41,este,questo
42,los,obligatoria
43,participan,","
44,socios,soci
45,creacin,lavio
46,inovadora,ilustrazione
47,metodologa,una
48,tcnicos,tecnici
49,transversales,seguito
50,adquirir,in
51,econmicofinancieros,percorso
52,principales,consigliamo
53,del,al
54,roma,roma
55,son,sono
56,siguientes,seguenti
57,prcticas,tirocini
58,realizarn,training
59,productos,prodoti
60,plataforma,piataforma
61,learning,operatori
62,diferentes,aspeti
63,formacin,formazione
64,trabajan,e
65,orgenes,origini
66,culturales,culturali
67,dirigida,cal
68,empresarios,empresarios
69,completa,pronto
70,inicial,al
71,relacin,raporto
72,aspectos,del
73,difusin,difusione
74,cada,ogni
75,conferencia,conferenza
76,partes,parti
77,interesadas,","
78,actores,atori
79,microcrditos,sotintende
80,intercambio,delinterscambio
81,abril,ad
82,elecin,membri
83,estas,queste
84,buenas,prasi
85,sido,stati
86,originalidad,","
87,itinerarios,percorsi
88,crditos,crediti
89,su,esere
90,sostenibilidad,sostenibilit
91,impacto,e
92,transferibilidad,trasferibilit
93,a,partire
94,establecimiento,definizione
95,polticos,politici
96,intermediarios,makers
97,es,di
98,fin,le
99,garantizar,garantire
100,cadena,di
101,hambre,fame
102,ha,stato
103,recientemente,poco
104,ms,minima
105,trabajo,esere
106,emprendimiento,antonio
107,mujeres,done
108,e,ed
109,inmigrantes,alautoimpresa
110,experiencias,workshop
111,otros,altri
112,han,hano
113,salido,altre
114,pasos,importanti
115,algunos,alcuni
116,importantes,importanti
117,marcha,di
118,proceso,tratazione
119,puede,in
120,ser,esere
121,por,per
122,asesor,per
123,posteriormente,di
124,positiva,e
125,concederle,da
126,pueda,grecoromana
127,profesionales,presenti
128,sobre,non
129,interculturalidad,deloperatore
130,permitan,permeta
131,actuar,agire
132,respetando,acordo
133,tradiciones,popolari
134,comunitarios,delutente
135,alemania,germania
136,socio,estero
137,organiza,organizato
138,haciendo,ponendo
139,comunicacin,comunicazione
140,heterogeneidades,le
141,hacer,fare
142,frente,trovarsi
143,estos,questi
144,completan,completano
145,gestin,gestione
146,conflictos,confliti
147,entre,tra
148,usuarios,utenti
149,operaciones,servizi
150,inovacin,linovazione
151,se,si
152,materializar,concretizer
153,transformacin,trasformazione
154,contenidos,contenuti
155,disponibles,disponibili
156,autoridad,ala
157,microcrdito,garantendo
158,garantizando,un
159,profundo,lavoro
160,beneficiarios,e
161,ingreso,di
162,al,al
163,control,controlo
164,seguridad,sicureza
165,no,non
166,permitido,permeso
167,introducir,portare
168,maletas,valige
169,caritos,troley
170,botelas,botiglie
171,latas,","
172,objetos,","
173,puntiagudos,ogeti
174,fotografiar,fotografare
175,grabaciones,efetuare
176,vdeo,videoriprese
177,salir,aredi
178,recoridos,percorsi
179,indicados,opere
180,advertencias,avertenze
181,disposiciones,prescrizioni
182,visita,visita
183,finca,tenuta
184,rea,rea
185,natural,naturale
186,protegida,proteta
187,cuyo,cui
188,interno,lordinamento
189,estn,eletorale
190,presentes,questo
191,animales,animali
192,silvestres,animali
193,jabales,cinghiali
194,venados,daini
195,corzos,","
196,etc,ec
197,numerosas,numerose
198,tambin,anche
199,entomolgicas,entomologiche
200,abejas,api
201,avispas,vespe
202,abejoros,calabroni
203,personas,persone
204,presentan,presentano
205,patologas,patologie
206,incompatibles,incompatibili
207,aconsejable,","
208,todas,tuti
209,dotarse,di
210,repelentes,contro
211,contra,averso
212,picaduras,di
213,visitas,visite
214,realizan,amese
215,solo,solo
216,largo,lungo
217,prestablecidos,prestabiliti
218,considerando,in
219,naturaleza,naturaleza
220,presencia,la
221,est,consentito
222,prohibido,","
223,alejarse,vietato
