es,pt
min,min
por,por
confirmar,confirmar
i,i
actuacin,funes
de,da
x,x
cheques,cheques
xi,xi
tarjeta,carto
cheque,cheques
crdito,crdito
xiv,xiv
partida,certido
nacimiento,nascimento
xv,xv
matrimonio,casamento
secretara,secretrio
tel,tel
.,.
h,hs
lower,lower
hatch,hatch
stret,stret
dubln,dublin
merion,merion
tribunal,tribunal
octubre,outubro
la,da
aceptacin,recepo
donaciones,donativos
animas,animos
superiores,superiores
a,a
prohibida,proibida
y,e
donacin,donativo
debe,","
ser,ser
entregada,ajudar
el,o
traslado,traslado
aeropuerto,aeroporto
hotel,hotel
viceversa,viceversa
cargo,cargo
los,e
asistentes,participantes
desde,declarar
fiscala,acusao
o,ou
defensa,defesa
",",","
acusado,acusado
que,que
persona,pesoa
como,intimao
en,em
no,no
hay,h
juez,juiz
corte,pronto
para,para
atender,tratar
an,an
sochna,sochna
investiga,investiga
delitos,crimes
presentacin,apresentao
electores,eleitores
deben,ser
atestiguadas,testemunhadas
un,um
potestad,autoridade
local,local
decidir,decidir
si,","
tarjetas,cartes
nacionalidad,cidadania
requisito,requisito
votar,votar
unas,nas
eleciones,eleies
locales,locais
cmara,cmara
diputados,deputados
senado,senado
repblica,repblica
cena,jantar
sala,senado
del,do
periodo,perodo
gasto,despesas
una,que
orden,despacho
ministro,ministro
antes,antes
las,das
entre,coreta
das,de
fecha,da
cumplimento,referncia
septiembre,setembro
anterior,anterior
entrada,entrada
vigor,vigor
censo,cadernos
autoridades,autoridades
inclusin,suplementar
dos,duas
despus,aps
caso,caso
decisin,deciso
emprender,decidirmos
muy,muito
importante,importante
entablar,quanto
declaracin,declarao
anual,anual
candidato,candidato
entidad,instituio
certificado,certificado
todas,todas
fueron,foram
cuenta,conta
fines,fins
polticos,polticos
describe,descreve
efectos,seguintes
delito,crime
tenido,teve
sobre,sobre
vctima,vtima
abogado,advogado
sin,no
normativas,cumprir
rigurosas,severas
con,a
al,a
tratamiento,histrico
papeleta,boletim
equipo,equipe
abogados,advogados
representa,representa
dp,dp
cortes,tribunais
pueden,pode
permita,autorize
tomar,da
jurada,juramento
pueblo,povo
irlanda,irlanda
comenzado,comeou
ha,relao
revisin,reviso
judicial,individual
impedir,impedir
oficina,noso
se,se
rene,rene
vctimas,vtimas
discutir,discutir
est,esteja
listo,pronta
fin,fim
garantizar,garantir
ms,mais
amplia,mais
participacin,participao
debate,debate
presidencia,presidncia
intervencin,disponvel
nmero,ou
cada,cada
testigo,testemunha
edad,at
circunstancias,circunstncias
personales,pesoais
sospechoso,suspeito
compensacin,quaisquer
podr,pode
pudiera,valor
civil,civil
mismo,forma
nombre,nome
cuestin,questo
informacin,informaes
enva,enviada
estado,estado
confirmacin,confirmao
dobles,dupla
candidaturas,candidaturas
elega,elegeu
primeras,primeiras
directas,diretas
este,este
redujo,reduzido
proceso,eleio
rige,rege
incluye,contm
legales,seguintes
ley,lei
libertad,liberdade
nicamente,somente
administracin,administrao
general,geral
podrn,podem
electoral,eleitoral
lmite,limite
europeas,europeias
polticas,polticos
miembros,membros
candidatos,candidatos
lnea,linha
tambin,tambm
puede,pode
datos,detalhes
contacto,contato
otros,outros
lista,lista
suplentes,suplentes
presentada,apresentada
partido,registado
poltico,poltico
presentados,apresentado
esa,ese
ningn,ningum
mximo,nomes
leva,leva
proseguir,procesar
enjuiciar,procesar
menos,que
graves,graves
toma,toma
denunciado,informou
cantidad,mxima
miembro,membro
autoridad,autoridade
procedente,proveniente
fuente,fonte
realizada,levada
haya,tenha
implicado,envolvido
original,original
reunin,reunio
investigacin,investigar
acusacin,acusao
normalmente,geralmente
seis,seis
semanas,semanas
recepcin,recepo
su,a
solicitud,pedido
queja,reclamao
nuestra,internet
complaints,poltica
vacante,vaga
primera,primeira
posicin,constante
pertinente,relevante
elegida,elegvel
dese,se
votacin,eleio
hospitales,internados
colegio,asembleia
hospital,hospital
centros,semelhante
retirar,vtima
acin,decidir
documentos,identificao
exista,concretas
fotografas,fotografias
penas,penas
perpetua,perptua
algunos,casos
palacio,palcio
quirinal,quirinal
presentar,apresentar
ver,ver
trabajan,representam
fuera,conhecer
doctores,mdicos
sociales,sociais
representacin,representao
sus,seus
ayuda,ajuda
alergias,alergias
alimentarias,alimentares
cierto,foram
especial,criminal
varios,polcia
hoteles,sede
buf,bufet
bufet,bufet
da,dia
presidenta,presidente
pabeln,pavilho
ferero,ferero
adems,diso
pas,pas
inters,interese
antecmara,antecmara
dei,dei
parlamenti,parlamenti
entrega,entregue
firmar,asinar
compromete,cumprir
recuento,contagem
votantes,eleitores
especiales,especiais
coreo,eleitor
presencia,presena
apoderados,asociados
resto,os
disposicin,publicado
internet,website
ie,ie
as,","
conforme,amparo
constitucin,constituio
jueces,juzes
son,so
analizar,avaliar
pruebas,provas
debemos,temos
pblico,pblico
consideramos,consideramos
gravedad,gravidade
considerar,considerar
tener,ter
incluyendo,incluindo
decisiones,decises
seguimos,seguimos
directrices,diretrizes
preguntarnos,interogarnos
aciones,constituir
apartamento,apartamento
montecitorio,montecitorio
suplemento,suplementar
referndum,referendos
cualquier,qualquer
elector,eleitor
vez,vez
constar,constar
pesar,apesar
algunas,algumas
esto,isto
desean,que
sostiene,apoia
objetivos,outrosim
agenda,agenda
onu,onu
e,se
invita,convida
todos,todos
gobiernos,governos
pases,pases
comprometerse,comprometeremse
desarolarn,realizadas
nuova,nuova
aula,aula
grupi,grupi
solicitar,registo
respalden,suportem
derecho,direito
presentadas,prencher
cmaras,cmara
irlands,policiais
acerca,sobre
participantes,participantes
necesidades,necesidades
corern,sero
escala,nvel
nacional,comunitria
canalizado,canalizadas
travs,atravs
electorales,eleitorais
incuridos,incoridas
durante,durante
notificarse,comunicadas
inferior,inferior
establecido,especificado
parlamento,parlamento
europeo,parlamento
celebran,decorem
cinco,cinco
aos,anos
norma,decorem
contenida,ouvidas
examinar,avaliar
vista,vo
elecin,eleio
recoge,esto
leyes,legislao
trabajo,trabalho
sern,sero
italiano,italiano
espaol,espanhol
portugus,portugus
personas,pesoa
identificadas,identificadas
letra,letra
l,ele
junto,opo
meses,meses
incluidas,registadas
vigencia,validade
necesitan,precisam
jurado,jri
pueda,posa
toda,de
culpable,culpado
reservas,reservas
reuniones,reunies
previas,permitem
sesiones,seses
sereni,sereni
rosa,rosa
maria,maria
enrique,enrique
jaramilo,jaramilo
vacantes,vagas
imprevistas,indiretas
cubiertas,prenchidas
listas,listas
afiliado,filiao
puestos,lugares
electas,eleitas
coptacin,coptao
asamblea,asembleia
poder,poder
popular,popular
servicio,servio
internacionales,internacionais
actualizado,atualizado
bolivia,bolvia
ofrecido,oferecido
coperacin,coperao
alfano,alfano
honor,honorio
conferencia,conferncia
italiamrica,itliamrica
plazo,prazo
diferente,diferente
considera,considerase
todo,tudo
casos,casos
detenimiento,cuidadosamente
fijado,dias
consejo,conselho
referencia,participante
requisitos,informarse
conseguir,consulado
ingreso,entrada
visado,visto
asistente,participante
personal,pesoal
aceder,usar
salas,salas
participar,disputar
eventos,eventos
participante,participante
aceso,forem
camera,camera
diputati,deputati
uficio,uficio
stampa,stampa
familia,famlia
pedirnos,reviso
menor,anos
tres,trs
ciertas,certas
charles,charles
tapia,marioti
jefe,chefe
gerencia,diretiva
unidad,unidade
director,chefe
administrativo,parlamentar
legada,chegada
principal,principal
estacin,estao
trmini,trmini
delegados,delegados
residentes,residente
tienen,terem
saber,saber
esta,esta
es,a
puesto,vez
copresidencia,copresidncia
italiana,italiana
marina,marina
claudio,claudio
zin,zin
vicepresidenta,vicepresidente
chile,chile
di,di
giorgi,giorgi
vctor,vctor
presidente,presidente
comisin,comiso
exteriores,exteriores
pier,pier
casini,casini
per,peru
laura,laura
boldrini,boldrini
graso,graso
pietro,pietro
inicio,comeando
cmo,como
revisan,juzes
puedo,poso
contactar,contactar
resumen,resumo
tomada,duma
revisiones,revises
elige,eleitos
completa,completa
lo,voc
pero,","
s,sim
tomamos,tomamos
dil,dil
representantes,representantes
seanad,seanad
ante,em
aparecer,comparecer
podra,pode
estresante,estresante
consejos,conselhos
condado,compilam
recordar,apropriado
gnero,gnero
responsable,crescimento
sostenible,sustentvel
automticamente,automaticamente
consideracin,considerao
veredicto,veredicto
obstante,entanto
realizndose,procesaro
tiene,tm
garda,garda
hacer,presente
nombres,nomes
escribir,escrever
revelacin,facultar
siempre,sempre
consecuencias,consequncias
debera,deve
lmites,limites
establecidos,estabelecidos
hablarle,sobre
ordinario,normal
presin,tenso
daos,danos
morales,perturbao
escrito,escrito
contiene,contm
declaraciones,depoimentos
reducin,reduo
desigualdades,desigualdades
crecimiento,econmico
econmico,econmico
inclusivo,inclusivo
lucha,luta
contra,recorer
pobreza,pobreza
gobernanza,governana
mapamondo,mapamondo
senadores,senadores
prensa,imprensa
motivos,motivos
salida,partida
organizar,sediar
primer,maior
foro,frum
parlamentario,parlamentar
latina,latina
caribe,trs
compartido,participativo
italianos,italianos
han,deram
recursos,recursos
final,final
sumarios,sumrios
dependiendo,dependendo
resultado,resultado
sospechosa,suspeita
cometer,cometer
circulacin,circulao
ocupaciones,determinadas
incompatibles,incompatveis
ejemplo,exemplo
ministros,ministros
tiempo,tempo
fuerzas,foras
determinado,determinado
reside,eleitoral
enviar,fizer
enlace,ligao
comunicaciones,participaes
pgina,pgina
deber,deve
formulario,formulrio
dentro,ser
comunique,comunicada
disponibles,disponveis
probabilidad,posibilidade
razonable,razovel
escribirnos,escrevernos
solicitarnos,solicitar
carta,da
relenar,prencher
unit,vtimas
diplomticos,diplomatas
irlandeses,irlandeses
destinados,destacados
extranjero,estrangeiro
esposasparejas,respectivos
civiles,parceiros
censados,inscritos
optar,poder
directora,diretora
servicios,servios
asuntos,asuntos
finales,finais
divulgacin,divulgao
documentacin,documentao
realizar,durante
contar,estar
mdico,mdico
mortales,fatais
donde,seu
muerte,morte
producido,ocorido
ni,no
pretende,presta
asesora,asesoria
dar,a
uno,dos
pose,das
legislativa,competncias
cual,da
desempea,desempenha
papel,papel
ue,ue
elos,eles
decidirn,consideraro
sentencia,sentena
excesivamente,indevidamente
consideran,acreditarem
cometi,cometeu
eror,ero
leve,leve
permite,haver
eliminacin,eliminao
celebrarn,realizadas
usted,se
pedir,pedirlhe
aplicar,solicitar
obtener,sobre
extravo,perda
necesario,necesrio
dirigirse,dirigirse
sexuales,sexuais
ofrecer,oferecer
leves,menos
indicar,darme
violencia,diversas
incluyan,incluir
disponible,disponvel
ayuntamientos,municipais
muchos,muitos
implicar,implica
distribucin,distribuio
hogares,para
menores,menores
aprendizaje,aprendizagem
videolink,videolink
decida,decidir
otro,outro
slo,","
enmienda,emenda
republica,repblica
dominicana,dominicana
mxico,mxico
encuentro,encontro
sergio,sergio
becker,becker
piaza,piaza
cargos,indiciar
cometido,cometer
tanto,portanto
sido,a
ermete,ermete
realaci,realaci
esperamos,esperamos
foleto,livreto
informativo,informativo
til,","
explicarle,explicao
sitio,noso
w,w
estos,nestes
informes,relatrios
ayudarn,ajudaro
tarea,tarefa
responsabilidad,responsabilidade
global,global
nadie,ningum
solidariamente,solidariamente
integridad,integridade
ninguna,indicada
evidencia,declaraes
independiente,independente
dactilares,digitais
manchas,manchas
sangre,sangue
volver,devem
acuerdo,concordar
indica,diz
hora,horio
explica,explica
lenguaje,linguagem
cuaderno,livreto
sencilo,simples
consentir,utilizarem
penal,penal
cdigos,dois
prcticas,conduta
ayudan,ajudam
asegurarnos,asegurar
nuestras,nosas
justas,justas
coherentes,consistentes
acto,evento
colateral,paralelo
excedente,excedentes
papeletas,boletins
total,total
transferibles,transferveis
milones,milhes
expresa,expresa
unidos,unidos
mexicanos,mexicanos
falta,falta
razn,razo
comn,comum
fax,fax
email,email
aloja,hotel
fiables,fiveis
suficientes,suficientes
demostrar,provar
pueblos,povos
mayor,dos
poltica,anexo
uso,uso
inscripcin,inscrio
foto,com
francs,francs
frecuencia,contudo
funcionaria,funcionria
funcionario,funcionrio
funcionarios,funcionrios
profesionales,profisionais
flix,flix
ortelado,fernando
zorila,ortelado
of,do
prosecutions,procuradorgeral
infirmary,infirmary
road,road
censado,registado
votante,eleitor
entregado,liberado
resultados,resultados
posibles,posveis
derivados,quando
mucha,muito
cuatro,quatro
tipos,tipos
circuito,tribunal
criminales,criminais
judiciales,judicial
claro,claro
condenado,condenado
punido,punido
recordamos,informamos
pondr,oferecer
ida,e
parlamentarios,parlamentares
asimismo,informamos
razones,razes
seguridad,estado
debern,devero
controles,segurana
pasando,pasagem
discapacidades,incapacidade
comunidades,comunidades
interpretacin,interpretao
introducin,introduo
postal,iseno
gratuito,franquia
significa,significa
examinamos,analisamos
admisibles,admisveis
solo,s
har,ser
motivo,motivo
justicia,justia
alegar,que
alguien,algum
decir,dizer
aplica,aplicase
tomadas,data
noviembre,novembro
probar,provar
rgano,pg
expediente,instruo
generalmente,geralmente
presentes,proceso
beneficios,benefcios
denomina,denominado
ofrecida,oferecido
juan,juan
rafael,rafael
mesa,a
ya,j
n,.
reforma,reforma
letn,leto
apoyo,pesoa
provisional,provisoria
luigi,luigi
compagna,compagna
mateo,mateo
renzi,renzi
emigracin,emigrao
armadas,armadas
cuarteles,militares
polica,foras
retira,autorizao
incluso,mesmo
existan,havendo
nos,tendo
fiscal,vtima
exitosa,pode
retrasar,adiar
ministerio,ministrio
medio,meio
ambiente,ambiente
comunidad,comunidades
montague,montague
court,regional
lane,lane
doctor,mdico
realizacin,realizao
mana,manh
continuarn,outubro
largo,reunio
experiencias,experincias
intercambio,intensificao
buen,e
plazos,mas
prohibido,proibido
lugares,locais
negocios,negcios
fraudulentos,fraudulentos
deshonestos,desonestos
afectan,afetem
siguientes,seguintes
estas,destas
incluyen,incluemse
ocure,em
dosier,liberao
sentido,sentido
promueve,promove
restructuracin,restruturao
soberana,soberana
dilaciones,adiamentos
objetivo,visando
economa,economia
falecido,morido
presidenciales,presidenciais
tenida,que
domingos,incluindo
viernes,domingos
identificacin,documentos
identificar,identificar
legarn,entraro
previsto,previsto
tren,trem
miln,milo
solicita,boletim
facilitando,apresentando
embargo,entanto
hacerlo,fazer
solicitarlos,justificaes
gastos,todas
escuelas,utilizamse
pblicos,pblicos
u,ou
obtenida,promotoria
reunir,reunir
estar,estar
censada,registada
otra,outra
paz,paz
sino,mas
protecin,proteo
climtico,climticas
tnico,etnia
permitido,permitido
armas,armas
sexual,grave
grave,crime
plaza,piaza
declararse,declararse
inocente,inocente
condena,condenao
empezar,explicando
trabajar,trabalhar
aumento,aumento
importancia,importncia
humanos,humanos
riesgo,segurana
bilete,ser
trayecto,euros
cuesta,cada
euro,trecho
voto,voto
les,lhes
votan,votam
proponente,proponente
candidatura,candidatura
escrutador,presidente
depsito,candidato
control,controlo
sistema,usar
coste,de
asumido,suportado
erario,das
misma,mesmo
documento,documento
parte,seu
decide,decidir
declarada,considerada
acusa,acusar
haber,tenham
esas,pesoa
apelaciones,recursos
revise,revise
considere,considere
dio,pelo
veces,vezes
ler,ler
suficiente,suficientes
acusar,acusar
efecto,efeito
dobla,dobra
ocultar,voto
opciones,esconder
urna,numa
selada,selada
opcin,escolha
direcin,endereo
evento,evento
celebrar,realizarse
lunes,de
registrado,registrou
amrica,amrica
encuentra,caribe
web,site
exhorta,exorta
ila,ila
garanticen,asegurar
derechos,direitos
movilidad,mobilidade
humana,humana
trata,tratar
grupos,grupos
atencin,ateno
prioritaria,prioritria
nios,e
expresar,expresa
contribuido,contribuio
estados,estados
cuba,","
reitera,reafirma
latinoamericanas,latinoamericanas
caribeas,residentes
ejemplos,exemplos
respetuosa,respeitosa
valores,recprocos
luchar,lutar
formas,formas
intereses,intereses
corupcin,poltica
comprometiendo,parlamentos
presentarse,apresentar
instituciones,instituies
transparentes,transparentes
destaca,salienta
expo,expo
dedicada,dedicada
tema,tema
energa,energia
vida,a
posible,posvel
gracias,gras
crucial,primordial
aprobar,adotar
programas,programas
sostenibilidad,sustentabilidade
catstrofes,naturais
vistas,objetivo
prevenir,evitar
contrarestar,consequncias
temas,temas
parlamentos,parlamentos
promocin,promo
democracia,democracia
italia,itlia
conectividad,conectividade
impacto,impacto
custodia,mantida
prisin,priso
hasta,prximas
le,lhe
bajo,sob
fianza,fiana
admitir,permitir
tenga,que
conexin,conhea
legar,chegar
saln,no
rendido,deponha
designa,define
horas,horas
tiles,teis
fundamentales,fundamentais
hace,o
extravos,perda
ratificar,confirmar
fechar,datar
selar,carimbar
unos,custa
centro,vinci
duracin,cerca
roma,roma
precio,roma
euros,euros
semana,semana
va,dar
adultos,adultos
programa,programa
tampoco,tambm
dicha,ao
